address,latitude,longitude
"BANNING STREET, SAN DEIGO",32.7462005,-117.2350781
"FRONSAC STREET, SAN DEIGO",32.9189278,-117.0665493
"MT CARMEL DRIVE, SAN DEIGO",32.5608151,-117.044209
"MALCOLM DRIVE, SAN DEIGO",32.7550167,-117.0602706
"TWINFORD COURT, SAN DEIGO",32.924732,-117.12338
"CLAIREMONT  , SAN DEIGO",32.8239594,-117.1848787
"BROOKS HUFFMAN PLAZA  , SAN DEIGO",32.7040778,-117.085423
"SPRUCE RUN DRIVE, SAN DEIGO",32.9298626,-117.0852087
"ALBERT STREET, SAN DEIGO",32.7422395,-117.1501293
"JUMANO AVENUE, SAN DEIGO",32.7965809,-117.196027
"SPARROW STREET, SAN DEIGO",32.7182655,-117.0567211
"EL BLANQUERO PLACE, SAN DEIGO",32.8165284,-117.0500113
"PACIFIC MESA BOULEVARD, SAN DEIGO",32.9017946,-117.1914176
"CASTEJON DRIVE, SAN DEIGO",32.8294801,-117.2490858
"BRANICOLE LANE, SAN DEIGO",32.9407735,-117.1163688
"CALUMET AVENUE, SAN DEIGO",32.8106,-117.269043
"ARDATH LANE, SAN DEIGO",32.8502211,-117.2503212
"VIEWRIDGE COURT, SAN DEIGO",32.8299274,-117.1222722
"BOQUITA DRIVE, SAN DEIGO",32.950294,-117.24971
"GATEWAY CENTRAL  , SAN DEIGO",32.7139606,-117.1133766
"SCRIPPS CREEK DRIVE, SAN DEIGO",32.9296885,-117.0905445
"CALLE PRIMERA ROAD, SAN DEIGO",32.5508365,-117.0454967
"MONTEZUMA AVENUE, SAN DEIGO",32.7446048,-117.1998558
"FENELON STREET, SAN DEIGO",32.7276696,-117.2333345
"ESCUELA  , SAN DEIGO",32.748142,-117.2144
"ENCELIA DRIVE, SAN DEIGO",32.8410162,-117.2586321
"DEVILLE DRIVE, SAN DEIGO",32.7203043,-117.0380019
"THRUSH STREET, SAN DEIGO",32.7083294,-117.0715238
"HONORS DRIVE, SAN DEIGO",32.8453989,-117.2231174
"PARADISE VALLEY  , SAN DEIGO",32.6912103,-117.0399716
"PHYLLIS  , SAN DEIGO",32.7857616,-117.1452128
"WACO STREET, SAN DEIGO",32.8046818,-117.1975273
"EAST HARBOR DRIVE, SAN DEIGO",32.6943449,-117.1416573
"NEW SALEM WAY, SAN DEIGO",32.9153387,-117.1623341
"VIA DELA VALLE  , SAN DEIGO",32.9809511,-117.2373332
"ROBINSON MEWS  , SAN DEIGO",32.7457593,-117.1655537
"TUTHER WAY, SAN DEIGO",32.7035325,-117.0459065
"BOLINAS STREET, SAN DEIGO",32.7467618,-117.2363785
"SEQUOIA STREET, SAN DEIGO",32.7924515,-117.2337589
"DURANT STREET, SAN DEIGO",32.7049087,-117.1201681
"PARK MESA WAY, SAN DEIGO",32.7978184,-117.1693188
"LA JOLLA HERMOSA AVENUE, SAN DEIGO",32.8158097,-117.2696198
"ESCALA DRIVE, SAN DEIGO",33.0428552,-117.0690393
"BRYNWOOD WAY, SAN DEIGO",32.7936651,-117.0588869
"TRIBUNA AVENUE, SAN DEIGO",32.9048982,-117.0876111
"MARLESTA DRIVE, SAN DEIGO",32.8112358,-117.1679991
"TORREY HIGHLAND PARK  , SAN DEIGO",32.9602729,-117.2223984
"AVENIDA NAVIDAD  , SAN DEIGO",32.8644305,-117.2097912
"DEL SUR RIDGE  , SAN DEIGO",33.0179549,-117.1223902
"SABRE HILL DRIVE, SAN DEIGO",32.9522215,-117.1001597
"SALVIA WAY, SAN DEIGO",32.9425723,-117.15791
"RANCH0 PENASQUITOS BOULEVARD, SAN DEIGO",32.9541595,-117.1087481
"SR-905 WB  , SAN DEIGO",-1,-1
"DANICA MAE DRIVE, SAN DEIGO",32.8688117,-117.2209268
"EDNA PLACE, SAN DEIGO",32.7622631,-117.1118452
"PATHOS LANE, SAN DEIGO",32.9439658,-117.140946
"LOUKELTON WAY, SAN DEIGO",32.7858046,-117.0891788
"KESLING STREET, SAN DEIGO",32.8335628,-117.1787487
"MIDWDAY DRIVE, SAN DEIGO",32.7503917,-117.2089341
"PARDEE STREET, SAN DEIGO",32.7079514,-117.1178763
"BALBOA COURT, SAN DEIGO",32.7624974,-117.2509102
"SUNDANCE AVENUE, SAN DEIGO",32.9561643,-117.1381183
"MANOMET STREET, SAN DEIGO",32.699042,-117.0888725
"DOWNWIND DRIVE, SAN DEIGO",32.8667291,-117.2498948
"DEFIANCE WAY, SAN DEIGO",32.7694189,-117.0824295
"ELKHART STREET, SAN DEIGO",32.7318439,-117.0862283
"ANCHORAGE LANE, SAN DEIGO",32.7198507,-117.2291327
"BIONA DRIVE, SAN DEIGO",32.7640699,-117.1042398
"MT HARRIS DRIVE, SAN DEIGO",32.82468,-117.188049
"RAEDEL COURT, SAN DEIGO",32.5791967,-117.0914249
"CENTRALOMA DRIVE, SAN DEIGO",32.7376127,-117.2324493
"GROVELAND DRIVE, SAN DEIGO",32.70768839999999,-117.0820071
"NORSTAD STREET, SAN DEIGO",32.5812533,-117.0537951
"PACIFIC RIDGE DRIVEWAY, SAN DEIGO",32.7710775,-117.1857489
"FLORINDO ROAD, SAN DEIGO",33.0267857,-117.0895116
"RIDGEWOOD DRIVE, SAN DEIGO",32.6839817,-117.0642215
"WHEATSTONE STREET, SAN DEIGO",32.7941308,-117.1806695
"MISSION CENTER COURT, SAN DEIGO",32.7732587,-117.1528326
"CAMTO MARITIMO  , SAN DEIGO",32.8554157,-117.2438857
"ADAMS  , SAN DEIGO",32.7633799,-117.1236636
"VANCOUVER AVENUE, SAN DEIGO",32.7360622,-117.1163996
"CARLSBAD STREET, SAN DEIGO",32.7135836,-117.0200112
"GAGE DRIVE, SAN DEIGO",32.7174138,-117.2416613
"WEST CANYON TERRACE, SAN DEIGO",32.8029954,-117.1190513
"WINDFLOWER WAY, SAN DEIGO",32.7211123,-117.2430175
"SYDNEY LANE, SAN DEIGO",32.919845,-117.1175315
"SUNSET RIDGE DRIVE, SAN DEIGO",32.9184542,-117.0829834
"SEABREEZE FARMS DRIVE, SAN DEIGO",32.9537458,-117.2007792
"MICHAEL STREET, SAN DEIGO",32.743488,-117.0718206
"PLAINVIEW ROAD, SAN DEIGO",32.7738263,-117.1959869
"SWANER STREET, SAN DEIGO",32.71665,-117.0713366
"NIGHTHAWK LANE, SAN DEIGO",33.0153993,-117.1240747
"SABER SPRINGS  , SAN DEIGO",32.9484161,-117.0882341
"IROQUOIS AVENUE, SAN DEIGO",32.7973312,-117.1959096
"STAMEN STREET, SAN DEIGO",32.6967972,-117.0620353
"HILLDALE ROAD, SAN DEIGO",32.77052949999999,-117.1048125
"COMMERCE AVENUE, SAN DEIGO",32.8801217,-117.1678846
"BEAUMONT AVENUE, SAN DEIGO",32.81765,-117.269699
"ASHLEY FALLS DRIVE, SAN DEIGO",32.9524505,-117.2108262
"PONTIAC STREET, SAN DEIGO",32.7685229,-117.0667624
"MIDWAY STREET, SAN DEIGO",32.8129287,-117.2659322
"BROOKLINE STREET, SAN DEIGO",32.7241572,-117.091361
"ROLFE ROAD, SAN DEIGO",32.82583,-117.2007143
"DULUTH AVENUE, SAN DEIGO",32.7007746,-117.0720802
"RACINE ROAD, SAN DEIGO",32.7457771,-117.0537642
"CAMTO RIMINI  , SAN DEIGO",32.9648012,-117.1000788
"BOULDER LAKE AVENUE, SAN DEIGO",32.8004957,-117.0179566
"VALLE AVENUE, SAN DEIGO",32.7001522,-117.1251751
"HYACINTH DRIVE, SAN DEIGO",32.7455045,-117.220603
"FAIRFIELD STREET, SAN DEIGO",32.789696,-117.195007
"IBIS STREET, SAN DEIGO",32.7462048,-117.1731616
"MARIPOSA STREET, SAN DEIGO",32.6895311,-117.0755131
"ACACIA GROVE WAY, SAN DEIGO",32.6923425,-117.1146186
"IBSEN STREET, SAN DEIGO",32.7433775,-117.2155349
"AROSA STREET, SAN DEIGO",32.7651914,-117.0668787
"EUCALYPTUS LANE, SAN DEIGO",32.8617143,-117.2319462
"NORTH TALMADGE DRIVE, SAN DEIGO",32.763915,-117.1002347
"AVERIL ROAD, SAN DEIGO",32.5584402,-117.0542908
"LANCASTER DRIVE, SAN DEIGO",32.7858508,-117.0736969
"MARZO STREET, SAN DEIGO",32.5704767,-117.0513542
"REGENTS PARK RUN  , SAN DEIGO",32.8552341,-117.2176154
"CAMTO RADIANTE  , SAN DEIGO",32.9475411,-117.2043801
"CAMINITO SANTA FE  , SAN DEIGO",32.9813973,-117.2373682
"CARMEL VALLEY  , SAN DEIGO",32.9398273,-117.2029363
"MISSION BAY PARK  , SAN DEIGO",32.7778125,-117.226457
"CARROLL WAY, SAN DEIGO",32.8870715,-117.1589395
"YONGE STREET, SAN DEIGO",32.7382332,-117.2221258
"CANYON CREST DRIVE, SAN DEIGO",32.7761459,-117.0743546
"CAMTO CUADRO  , SAN DEIGO",32.9614405,-117.1154894
"PARKWOOD DRIVE, SAN DEIGO",32.6918849,-117.0315898
"TOOMA STREET, SAN DEIGO",32.6828186,-117.0379235
"MERRITAGE COURT, SAN DEIGO",32.9230418,-117.0502951
"TURTLEBACK ROAD, SAN DEIGO",33.0061207,-117.0863589
"GREWIA STREET, SAN DEIGO",32.6905156,-117.0698735
"LOS SONETO DRIVE, SAN DEIGO",32.7070668,-117.0435959
"MEWALL DRIVE, SAN DEIGO",32.808672,-117.0068135
"DE SOTO STREET, SAN DEIGO",32.8073209,-117.2176662
"MURPHY CANYON  , SAN DEIGO",32.8100348,-117.1045265
"MINUTEMAN STREET, SAN DEIGO",32.8021128,-117.1097902
"HUENNEKENS STREET, SAN DEIGO",32.9018524,-117.1818776
"BAY FRONT COURT, SAN DEIGO",32.7167275,-117.1716043
"ALBORADA DRIVE, SAN DEIGO",33.0434364,-117.083367
"CAMTO DEPORTE  , SAN DEIGO",32.7818475,-117.1088438
"SCARF PLACE, SAN DEIGO",32.8065557,-117.0159647
"SALLISAW COURT, SAN DEIGO",32.8006759,-117.0638047
"NICOLA TESLA COURT, SAN DEIGO",32.5532912,-116.9412741
"RACLINE ROAD, SAN DEIGO",32.7457771,-117.0537642
"YORKTOWN DRIVE, SAN DEIGO",32.8020767,-117.1082407
"AZUSA STREET, SAN DEIGO",32.7667095,-117.1933917
"RAYA WAY, SAN DEIGO",32.8515658,-117.2025603
"SALVATION DRIVEWAY, SAN DEIGO",32.7138756,-117.1580019
"COMPASS WAY, SAN DEIGO",32.5817622,-117.0200298
"ODELL ROAD, SAN DEIGO",32.9090818,-117.1538588
"MIRALANI DRIVE, SAN DEIGO",32.8960864,-117.1406339
"CARMEL KNOLLS DRIVE, SAN DEIGO",32.9495764,-117.2128372
"SHOREHAM PLACE, SAN DEIGO",32.8524575,-117.1853927
"BERNARDO TERRACE, SAN DEIGO",33.02729,-117.0768325
"BRAUN AVENUE, SAN DEIGO",32.7107456,-117.0219325
"OLD TOWN  , SAN DEIGO",32.7542167,-117.1969793
"CONTOUR BOULEVARD, SAN DEIGO",32.7601912,-117.0829498
"SCHILLING AVENUE, SAN DEIGO",32.909929,-117.1687344
"LISTER STREET, SAN DEIGO",32.7855124,-117.202445
"REGATTA LANE, SAN DEIGO",32.5847176,-117.0303361
"MESA COLLEGE WAY, SAN DEIGO",32.80457550000001,-117.1685963
"SPITFIRE ROAD, SAN DEIGO",32.9266771,-117.1159993
"GILMORE  , SAN DEIGO",32.7030925,-117.115736
"PASEO MONTERO  , SAN DEIGO",33.0166967,-117.1403359
"TREENA STREET, SAN DEIGO",32.91115,-117.113851
"SYDNEY COURT, SAN DEIGO",32.8724329,-117.2019782
"BIOLA AVENUE, SAN DEIGO",32.5636839,-117.0815459
"HALLER STREET, SAN DEIGO",32.733516,-117.1142321
